fecha,muestras,positivas,nuevos_casos,muertes,muertes_nuevas,hospitalizadas
2/17/2021,970174,277175,146,15394,2,31498
2/18/2021,974649,278816,1641,15444,50,31785
2/19/2021,979974,280232,1416,15474,30,31827
2/20/2021,988349,282053,1821,15513,39,31898
2/21/2021,993196,283629,1576,15536,23,32065
2/22/2021,994704,283924,295,15547,11,32134
2/23/2021,996309,284736,812,15567,20,32251
2/24/2021,1003773,287735,2999,15634,67,32304
2/25/2021,1012044,290125,2390,15669,35,32939
2/26/2021,1017933,291555,1430,15713,44,33024
2/27/2021,1025760,293303,1748,15779,66,33214
2/28/2021,1030233,295111,1808,15811,32,33280
3/1/2021,1031831,295323,212,15832,21,33329
3/2/2021,1034776,295681,358,15850,18,33443
3/3/2021,1043469,298428,2747,15921,71,33473
3/4/2021,1045826,298691,263,15959,38,33567
3/5/2021,1051767,300026,1335,15997,38,33832
3/6/2021,1058101,301899,1873,16020,23,33895
3/7/2021,1060301,303459,1560,16039,19,34019
3/8/2021,1060583,303574,115,16043,4,34120
3/9/2021,1063835,304070,496,16069,26,34181
3/10/2021,1068880,305797,1727,16105,36,34296
3/11/2021,1073813,306913,1116,16128,23,34359
3/12/2021,1080319,308172,1259,16193,65,34634
3/13/2021,1085657,309622,1450,16215,22,34732
3/14/2021,1089102,311177,1555,16236,21,34863
3/15/2021,1090265,311454,277,16240,4,34943
3/16/2021,1092983,311810,356,16259,19,35046
3/17/2021,1100139,314554,2744,16300,41,35105
3/18/2021,1106683,316385,1831,16333,33,35346
3/19/2021,1114343,318599,2214,16412,79,35402
3/20/2021,1117963,319824,1225,16435,23,35597
3/21/2021,1121591,321554,1730,16451,16,35697
3/22/2021,1122955,321807,253,16478,27,35766
3/23/2021,1125564,322526,719,16504,26,35848
3/24/2021,1132377,325763,3237,16540,36,35922
3/25/2021,1138244,327612,1849,16582,42,36330
3/26/2021,1143844,330407,2795,16632,50,36401
3/27/2021,1148309,331655,1248,16679,47,36501
3/28/2021,1152334,333438,1783,16738,59,37074
3/29/2021,1155457,334080,642,16746,8,37169
3/30/2021,1158663,336281,2201,16780,34,37220
3/31/2021,1163311,337711,1430,16847,67,37607
4/1/2021,1168267,339344,1633,16877,30,37683
4/2/2021,1176142,340994,1650,16910,33,37856
4/3/2021,1178477,342131,1137,16929,19,37931
4/4/2021,1181331,344637,2506,16956,27,38258
4/5/2021,1185415,345733,1096,16987,31,38254
4/6/2021,1187039,346658,925,17004,17,38489
4/7/2021,1193194,348560,1902,17057,53,38562
4/8/2021,1200900,350575,2015,17115,58,38692
4/9/2021,1204478,351634,1059,17158,43,38871
4/10/2021,1211511,353833,2199,17275,117,39078
4/11/2021,1214418,355773,1940,17293,18,39246
4/12/2021,1215942,356026,253,17298,5,39317
4/13/2021,1219336,356545,519,17351,53,39407
4/14/2021,1226441,359495,2950,17400,49,39585
4/15/2021,1236470,364387,4892,17489,89,39691
4/16/2021,1239441,364920,533,17528,39,40178
4/17/2021,1245955,367113,2193,17641,113,40465
4/18/2021,1249213,369502,2389,17703,62,40564
4/19/2021,1249317,369519,17,17703,0,40673
4/20/2021,1252225,370110,591,17744,41,40921
4/21/2021,1257056,371799,1689,17804,60,41014
4/22/2021,1264837,374349,2550,17965,161,41169
4/23/2021,1275557,380262,5913,18062,97,41299
4/24/2021,1279864,381710,1448,18158,96,41433
4/25/2021,1280564,382318,608,18177,19,41982
4/26/2021,1283847,383731,1413,18300,123,42078
4/27/2021,1286411,384285,554,18389,89,42194
4/28/2021,1293763,386618,2333,18470,81,42288
4/29/2021,1302009,389645,3027,18552,82,42408
4/30/2021,1306084,390818,1173,18631,79,42608
5/1/2021,1311642,393545,2727,18724,93,42747
5/2/2021,1314735,396255,2710,18740,16,42879
5/3/2021,1317481,397002,747,18765,25,42948
5/4/2021,1327770,400198,3196,18863,98,43041
5/5/2021,1335568,402004,1806,18907,44,43504
5/6/2021,1343245,404283,2279,19018,111,43629
5/7/2021,1347678,405844,1561,19061,43,43734
5/8/2021,1355413,407877,2033,19137,76,43836
5/9/2021,1358837,409252,1375,19222,85,44097
5/10/2021,1361981,411016,1764,19242,20,44345
5/11/2021,1364473,411551,535,19286,44,44428
5/12/2021,1371529,413588,2037,19349,63,44487
5/13/2021,1375774,414739,1151,19442,93,44550
5/14/2021,1380063,415958,1219,19514,72,44701
5/15/2021,1387197,418476,2518,19692,178,44940
5/16/2021,1389388,419085,609,19699,7,45015
5/17/2021,1391190,419826,741,19786,87,45048
5/18/2021,1394816,420422,596,19877,91,45125
5/19/2021,1401119,421863,1441,19979,102,45183
5/20/2021,1405722,424211,2348,20022,43,45269
5/21/2021,1410153,425577,1366,20107,85,45355
5/22/2021,1415363,426796,1219,20180,73,45402
5/23/2021,1418337,427807,1011,20193,13,45777
5/24/2021,1419120,428154,347,20210,17,45831
5/25/2021,1420903,429123,969,20227,17,45879
5/26/2021,1425313,430187,1064,20312,85,45942
5/27/2021,1429473,431285,1098,20357,45,46131
5/28/2021,1433553,432121,836,20408,51,46218
5/29/2021,1439213,433697,1576,20485,77,46212
5/30/2021,1442017,434797,1100,20545,60,46293
5/31/2021,1443325,434993,196,20572,27,46359
6/1/2021,1447211,436646,1653,20620,48,46404
6/2/2021,1451963,437821,1175,20681,61,46771
6/3/2021,1456340,438773,952,20706,25,46924
6/4/2021,1460104,439695,922,20755,49,46931
6/5/2021,1463150,440385,690,20773,18,47008
6/6/2021,1466349,441309,924,20809,36,47157
6/7/2021,1467613,441695,386,20814,5,47192
6/8/2021,1469296,441941,246,20831,17,47232
6/9/2021,1473013,442826,885,20903,72,47354
6/10/2021,1479400,444979,2153,20949,46,47429
6/11/2021,1483706,446077,1098,20997,48,47761
6/12/2021,1487838,447064,987,21018,21,47854
6/13/2021,1490925,447890,826,21048,30,47949
6/14/2021,1491612,448095,205,21051,3,47995
6/15/2021,1493224,448330,235,21061,10,48039
6/16/2021,1498617,450136,1806,21153,92,48177
6/17/2021,1503824,451297,1161,21175,22,48238
6/18/2021,1511079,453351,2054,21234,59,48422
6/19/2021,1516912,454542,1191,21284,50,48486
6/20/2021,1519567,455397,855,21293,9,48582
6/21/2021,1520900,455589,192,21304,11,48664
6/22/2021,1524133,456132,543,21315,11,48738
6/23/2021,1531936,458063,1931,21367,52,48764
6/24/2021,1533320,458439,376,21377,10,48890
6/25/2021,1541671,461190,2751,21433,56,48942
6/26/2021,1546253,462318,1128,21485,52,49393
6/27/2021,1550915,463292,974,21523,38,49471
6/28/2021,1554210,464699,1407,21523,0,49516
6/29/2021,1560694,466445,1746,21545,22,49528
6/30/2021,1566098,467460,1015,21560,15,49846
7/1/2021,1570794,468494,1034,21605,45,49902
7/2/2021,1576212,470113,1619,21623,18,50046
7/3/2021,1579799,471098,985,21660,37,50046
7/4/2021,1579799,471098,0,21660,0,50046
7/5/2021,1581552,471605,507,21695,35,50046
7/6/2021,1585731,472907,1302,21708,13,50046
7/7/2021,1590675,473985,1078,21728,20,50046
7/8/2021,1595143,474834,849,21768,40,50046
